ticker,name,asset_class,style,region,lookback,lookback_label,close,expense_ratio,fit_for,tags,strategy_score,profit_score,risk_score,efficiency_score,cagr,sharpe,sortino,calmar,mdd,volatility,downside_volatility,win_rate,turnover
SPY,SPDR S&P 500 ETF Trust,US Equity,Broad Market,US,ret_5d,5D,585.4,0.09,Core Holding,코어 ETF|리스크 균형,45.7,39.0,54.8,45.6,11.2,0.86,1.2,0.55,-20.4,17.8,11.1,54.3,30.2
SPY,SPDR S&P 500 ETF Trust,US Equity,Broad Market,US,ret_20d,20D,585.4,0.09,Core Holding,코어 ETF|리스크 균형,68.0,64.2,68.3,72.9,14.8,1.05,1.52,0.84,-17.6,15.9,9.8,57.2,13.8
SPY,SPDR S&P 500 ETF Trust,US Equity,Broad Market,US,ret_60d,60D,585.4,0.09,Core Holding,코어 ETF|리스크 균형,80.4,78.6,75.1,88.0,16.4,1.18,1.72,1.02,-16.1,15.0,9.2,59.0,7.6
SPY,SPDR S&P 500 ETF Trust,US Equity,Broad Market,US,ret_120d,120D,585.4,0.09,Core Holding,코어 ETF|리스크 균형,77.7,72.9,75.2,86.6,15.7,1.14,1.66,0.96,-16.4,14.8,9.0,58.1,4.3
SPY,SPDR S&P 500 ETF Trust,US Equity,Broad Market,US,ret_240d,240D,585.4,0.09,Core Holding,코어 ETF|리스크 균형,67.6,57.5,75.2,73.5,13.5,0.97,1.41,0.79,-17.1,14.2,8.8,56.2,2.2
QQQ,Invesco QQQ Trust,US Equity,Growth Momentum,US,ret_5d,5D,472.8,0.2,Aggressive Trend,고성장|변동성 높음,29.7,42.0,3.3,39.6,14.9,0.81,1.15,0.49,-30.1,25.4,16.8,53.1,34.0
QQQ,Invesco QQQ Trust,US Equity,Growth Momentum,US,ret_20d,20D,472.8,0.2,Aggressive Trend,고성장|변동성 높음,56.7,75.7,15.4,72.6,21.8,1.07,1.51,0.77,-28.2,23.6,15.1,57.0,15.4
QQQ,Invesco QQQ Trust,US Equity,Growth Momentum,US,ret_60d,60D,472.8,0.2,Aggressive Trend,고성장|변동성 높음,76.7,99.6,26.9,96.0,25.6,1.28,1.86,1.01,-25.4,22.1,14.3,60.1,8.1
QQQ,Invesco QQQ Trust,US Equity,Growth Momentum,US,ret_120d,120D,472.8,0.2,Aggressive Trend,고성장|변동성 높음,67.2,82.6,26.8,86.9,22.4,1.14,1.68,0.84,-26.7,21.3,13.7,58.5,4.7
QQQ,Invesco QQQ Trust,US Equity,Growth Momentum,US,ret_240d,240D,472.8,0.2,Aggressive Trend,고성장|변동성 높음,55.5,63.8,26.1,73.8,18.7,0.98,1.41,0.67,-27.9,20.7,13.3,56.4,2.4
VTI,Vanguard Total Stock Market ETF,US Equity,Broad Market,US,ret_5d,5D,287.3,0.03,Core Holding,미국 전체시장|분산,41.1,34.1,50.8,40.9,10.6,0.79,1.1,0.5,-21.2,18.3,11.6,53.5,28.4
