ticker,name,asset_class,strategy_family,region,dividend_frequency,expense_ratio,aum_billion,close,method1,method2,method3,method4,method5,method6,total_score,grade,rank,best_for,comment,risk_note,tags,signal_badges,ret_5d,ret_20d,ret_60d,ret_120d,ret_240d,vol_20d_ann,vol_60d_ann,downside_vol_20d_ann,drawdown_60d,ma_gap_20,ma_gap_50,ma_gap_200,rsi_14,bb_z_20,dist_yield_ttm,dist_ttm,total_distribution,trading_value,avg_trading_value_20d,avg_volume_20d,volume_ratio_20d,obv,obv_ma_20,exdiv_gap_rate,div_drop_ratio,is_dividend_event,ma_20,ma_50,ma_200,hh_20,hh_60,hh_120
QQQ,Invesco QQQ Trust,US Equity,Growth Momentum,US,Quarterly,0.2,301.8,451.7,94.9,11.4,93.9,76.8,30.1,34.6,56.9,D,1,성장주 모멘텀 추종,중단기 모멘텀과 장기 추세 점수가 강하지만 변동성이 높다. 공격형 상대모멘텀 후보에 적합하다.,금리 민감 성장주 집중으로 조정폭이 커질 수 있다.,모멘텀 강세|장기추세 양호|단기변동성 주의,Trend Up|Income Neutral|Liquid,2.9,5.5,10.8,17.1,28.6,19.4,18.2,12.8,-5.4,3.1,7.3,18.2,67.8,1.2,0.7,3.18,3.18,19600000000,17100000000,42500000,1.24,1355,1298,-0.11,0.58,True,438.12,420.97,382.15,449.44,451.7,456.22
SPY,SPDR S&P 500 ETF Trust,US Equity,Broad Market,US,Quarterly,0.09,575.2,522.4,57.4,44.7,56.8,78.7,48.4,45.6,55.3,D,2,기본 코어 자산 / 장기 적립,모든 전략 점수가 극단적이지 않고 균형형이다. 코어 ETF 관점에서 필터 통과 여부를 확인하기 좋다.,시장 전체 하락을 그대로 반영한다.,장기추세 양호,Trend Up|Income Neutral|Liquid,1.8,3.9,7.6,11.2,18.7,14.2,13.5,9.1,-4.7,2.4,4.6,11.1,61.4,0.8,1.4,7.26,7.26,27800000000,25200000000,56500000,1.11,1210,1187,-0.25,0.82,True,510.16,499.43,470.21,527.62,538.07,553.74
JEPQ,JPMorgan Nasdaq Equity Premium Income ETF,US Equity,Covered Call Income,US,Monthly,0.35,23.8,51.6,60.1,36.7,64.0,18.8,51.1,85.9,52.8,D,3,월분배 인컴 선호,인컴 강점에 나스닥 노출이 섞여 있다. 월분배 ETF 중에서는 추세 점수가 상대적으로 우수한 편이다.,나스닥 성격이 남아 있어 하락 시 변동성 확대 가능성이 있다.,인컴 강점|장기추세 양호,Trend Up|Income+|Mid Liquidity,1.6,3.6,7.8,12.4,19.1,15.1,14.7,10.2,-4.9,2.5,5.4,12.7,62.1,0.7,9.1,4.7,4.7,418000000,389000000,7600000,1.03,892,856,-0.74,1.12,True,50.34,48.96,45.79,52.12,53.15,52.12
XLK,Technology Select Sector SPDR Fund,Sector ETF,Sector Momentum,US,Quarterly,0.09,63.2,222.4,99.1,5.3,100.0,42.6,27.3,36.0,51.7,D,4,섹터 추세 추종,"섹터 모멘텀, 추세, 유동성 점수가 강하다. 다만 과열 국면에서는 평균회귀 관점 경계가 필요하다.",섹터 쏠림과 밸류에이션 부담을 점검해야 한다.,모멘텀 강세|장기추세 양호|단기변동성 주의,Trend Up|Income Neutral|Liquid,3.1,5.9,10.6,18.5,30.4,20.2,19.1,13.1,-5.8,3.4,7.6,19.3,68.5,1.4,0.8,1.78,1.78,1820000000,1660000000,8200000,1.21,1408,1329,-0.12,0.61,True,215.09,206.69,186.42,221.29,222.4,224.62
JEPI,JPMorgan Equity Premium Income ETF,US Equity,Covered Call Income,US,Monthly,0.35,37.4,55.2,23.4,72.9,25.8,11.8,66.3,81.0,46.9,D,5,월분배 인컴 선호,배당/이벤트 점수는 높지만 추세 탄력은 제한적이다. 월분배 현금흐름이 목표일 때 적합하다.,고분배가 총수익 우위와 동일하지 않다.,인컴 강점|장기추세 양호,Trend Up|Income+|Mid Liquidity,0.8,1.9,4.2,7.1,10.9,9.8,10.4,6.6,-3.2,1.1,2.4,5.8,54.2,0.2,7.6,4.2,4.2,732000000,695000000,12700000,0.98,805,796,-0.61,1.07,True,54.6,53.91,52.17,55.75,56.86,58.51
GLD,SPDR Gold Shares,Commodity,Inflation Hedge,Global,None,0.4,68.6,228.7,67.7,63.5,76.4,28.3,37.9,4.0,46.3,D,6,인플레이션 / 리스크 헤지,배당은 없지만 장기 추세와 헤지 역할이 분명하다. 인컴이 아닌 리스크 분산 자산으로 봐야 한다.,현금흐름이 없어서 인컴 전략과는 맞지 않는다.,장기추세 양호,Trend Up|Income Neutral|Liquid,1.9,4.8,8.5,12.1,21.6,12.1,11.4,7.0,-3.5,2.9,5.7,13.4,63.5,0.9,0.0,0.0,0.0,2390000000,2210000000,10400000,1.14,918,889,0.0,0.0,False,222.25,216.37,201.68,230.99,228.7,230.99
SCHD,Schwab U.S. Dividend Equity ETF,US Equity,Dividend Quality,US,Quarterly,0.06,71.3,79.4,36.0,63.5,36.2,17.1,60.2,58.3,45.2,D,7,배당 성장 + 퀄리티,인컴과 퀄리티 균형이 강점이다. 단기 폭발력은 약하지만 방어와 배당을 동시에 보려는 경우 유리하다.,배당주 스타일 약세 구간에서는 상대수익이 둔화될 수 있다.,장기추세 양호,Trend Up|Income Neutral|Mid Liquidity,1.2,2.1,5.4,9.3,14.0,11.7,11.1,7.2,-3.8,1.5,3.1,7.8,57.1,0.4,3.6,2.86,2.86,941000000,865000000,11100000,1.05,845,831,-0.42,0.91,True,78.23,77.01,73.65,80.19,81.78,84.16
VTI,Vanguard Total Stock Market ETF,US Equity,Broad Market,US,Quarterly,0.03,452.5,287.9,48.9,48.8,51.3,22.9,52.2,45.1,44.9,D,8,기본 코어 자산 / 장기 적립,시장 전체 노출을 주면서도 변동성이 과도하지 않다. 코어 + 팩터 혼합 포트폴리오의 기준점 역할에 적합하다.,시장 전반 약세 시 동반 조정 가능성이 높다.,장기추세 양호,Trend Up|Income Neutral|Liquid,1.5,3.3,6.8,10.1,16.9,13.8,12.9,8.8,-4.4,2.1,4.3,10.3,59.6,0.6,1.5,4.25,4.25,3420000000,3110000000,11200000,1.08,980,965,-0.23,0.79,True,281.98,276.03,261.02,290.78,296.54,305.17
VYM,Vanguard High Dividend Yield ETF,US Equity,High Dividend,US,Quarterly,0.06,62.1,120.3,35.6,66.3,35.4,10.7,63.5,56.6,44.7,D,9,배당 중심 자산배분,고배당 ETF 중에서는 안정성이 좋다. 다만 성장 모멘텀보다 배당 지속성과 밸류 성격이 핵심이다.,고배당 집중 구간에서 성장주 대비 언더퍼폼이 가능하다.,장기추세 양호,Trend Up|Income Neutral|Mid Liquidity,1.0,2.7,5.6,8.4,13.1,11.4,10.8,6.9,-3.6,1.6,3.0,7.1,56.4,0.3,2.9,3.51,3.51,323000000,301000000,2690000,1.02,782,770,-0.47,0.95,True,118.41,116.8,112.32,121.5,123.91,127.52
AGG,iShares Core U.S. Aggregate Bond ETF,Bond,Core Bond,US,Monthly,0.03,118.9,97.4,6.7,100.0,21.1,10.1,60.2,54.7,42.1,D,10,저변동성 방어 자산,절대수익 기대보다 포트폴리오 완충 역할이 중심이다. 리스크 필터 관점에서 매우 유용하다.,주식 급등기에는 상대적으로 매력도가 낮아질 수 있다.,방어 우수|장기추세 양호,Trend Up|Income Neutral|Mid Liquidity,0.4,1.6,3.1,3.7,5.6,6.2,6.7,4.1,-1.9,1.2,2.1,3.5,55.3,0.2,3.5,3.41,3.41,612000000,587000000,6050000,1.01,702,697,-0.21,0.68,True,96.25,95.4,94.11,98.37,100.32,103.24
